name,price,regular_price,status,sku,brand,image,features
"SONY CYBER-SHOT W800 20MP,5X ZOOM HD DIGITAL CAMERA","17,500৳","19,250৳",In Stock,1493,Sony,https://www.startech.com.bd/image/cache/data/Camera/DSCW800_main_v500-500x500.png,"[{'LCD': 'LCD Type : 2.7"" Clear Photo™ LCD (230K dots)'}, {'Lens': 'Digital Zoom : 10x\r\nOptical Zoom : 5x\r\nMinimum Focus Distance : iAuto: AF (W: Approx. 5cm (0.16 ft.) to Infinity, T: Approx. 60cm (1.96 ft.) to Infinity) / Program Auto: AF (W: Approx. 5cm (0.16 ft.) to Infinity, T: Approx. 60cm (1.96 ft.) to Infinity)'}, {'Video Format': 'H.264'}, {'Built-in Storage': '27 MB'}, {'Memory Card Slot': 'SD / SDHC / Stick Duo (Still Image / Movies) / Stick PRO Duo (Still Image / Movies) / Stick PRO Duo (High Speed), Memory Stick PRO HG Duo / Stick Micro / Stick Micro (Mark2) / Micro SD / Micro SDHC'}, {'Battery Life': 'Li-ion Rechargeable Battery'}, {'Weight': '125 g '}]"
Honeywell Eclipse 5145 (1D) Handheld Barcode Scanner,To be announced,,Out Of Stock,2928,Honeywell,https://www.startech.com.bd/image/cache/catalog/scanner/Honeywell Eclipse 5145 Single-Line Laser Scanner-500x500.png,
Logitech G440 Hard Gaming Mouse Pad,"2,099৳","2,310৳",In Stock,5297,Logitech,https://www.startech.com.bd/image/cache/catalog/Accessories/Logitech/Mouse Pad/g440-1-500x500.jpg,
Rapoo 3510 Plus Wireless Fabric Mouse,950৳,"1,140৳",In Stock,5869,Rapoo,https://www.startech.com.bd/image/cache/catalog/Accessories/Rapoo/Mouse/Rapoo 3510 Plus/3510-plus-500x500.jpg,"[{'Interface': '2.4G wireless connection'}, {'Sensor technology': '1000 dpi'}]"
HP 125A Black Original LaserJet Toner Cartridge For CLP1515 Printer,"5,000৳","5,500৳",In Stock,5900,HP,https://www.startech.com.bd/image/cache/catalog/Toner/new toner/125a-500x500.png,
Rapoo H100 3.5mm Single Port Headphone Black,900৳,990৳,In Stock,5878,Rapoo,https://www.startech.com.bd/image/cache/catalog/Accessories/Rapoo/Headphone/Rapoo H100/Rapoo H100-500x500.jpg,
"Western Digital 8TB 3.5"" PURPLE HDD","19,000৳","20,780৳",In Stock,5972,WESTERN DIGITAL,https://www.startech.com.bd/image/cache/catalog/HDD/Western Digital/Western Digital 8TB PURPLE WD80PUZX/Western Digital 8TB PURPLE WD80PUZX-1-500x500.jpeg,"[{'Interface type': 'SATA 6 Gb/s'}, {'Internal or External': 'Internal'}, {'Capacity (GB)': '8 TB'}, {'RPM': '5400RPM'}, {'Warranty': '02 Years Warranty'}]"
ADP CAT.6 UTP Cable 305M,To be announced,,Out Of Stock,5926,Non-Brand,https://www.startech.com.bd/image/cache/catalog/Networking Accessories/ADP CAT.6 UTP/adp-cat6-network-cable-utp-cable-500x500.jpg,
Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM,"3,500৳","3,850৳",In Stock,6046,Corsair,https://www.startech.com.bd/image/cache/catalog/RAM/VENG_LPX_BLK_01-500x500.png,
Honeywell Voyager 1202g-bf barcode scanner,To be announced,,Out Of Stock,6008,Honeywell,https://www.startech.com.bd/image/cache/catalog/scanner/new/bar12-500x500.jpg,
Mercusys MW155R 150 Mbps Wireless N Router,To be announced,,Out Of Stock,6014,Mercusys,https://www.startech.com.bd/image/cache/catalog/router1/Mercusys/mw155r/21-500x500.jpg,"[{'Wireless Speed': '150 Mbps'}, {'External Power Supply': '5VDC / 0.6A'}, {'Wireless Standards': 'IEEE 802.11n, IEEE 802.11g, IEEE 802.11b'}, {'Frequency': '2.4 - 2.4835GHz\n'}, {'Wireless Security': '64/128/152-bit WEP / WPA / WPA2,WPA-PSK / WPA2-PSK'}]"
HP 15A Black Original LaserJet Toner Cartridge (For LJ P1200),"6,950৳","7,645৳",In Stock,5929,HP,https://www.startech.com.bd/image/cache/catalog/Toner/new toner/131 toner/15ablack-500x500.png,
Rosenbarger Cat6 Patch Cord 2 Meters,To be announced,,Out Of Stock,6070,Rosenberger,https://www.startech.com.bd/image/cache/catalog/Networking Accessories/Patch Cords/Rosenbarger Cat6 Patch Cord 2 Meters-500x500.jpg,
Microlab TMN8 (2.1) Multimedia Speaker,To be announced,,Out Of Stock,6051,Microlab,https://www.startech.com.bd/image/cache/catalog/Speaker/Microlab/Microlab TMN8/Microlab TMN8-500x500.jpg,[{'Manufacturing Warranty': '1 year'}]
DAHUA NVR4104H 4 Channel Mini 1U Lite Network Video Recorder (4K-NVR),To be announced,,Out Of Stock,6064,Dahua,https://www.startech.com.bd/image/cache/catalog/NVR/DAHUA/DAHUA NVR4104-500x500.png,
Informate HT-568R Original Crimping Tool,To be announced,,Out Of Stock,5986,Non-Brand,https://www.startech.com.bd/image/cache/catalog/networking/accessories/crimping-tool/informate-ht-568r-2-500x500.jpg,
Brother FAX-2840 High Speed Mono Laser Fax Machine,To be announced,,Up Coming,5939,Brother,https://www.startech.com.bd/image/cache/catalog/Fax/brother /28-500x500.jpg,
Mercusys MW325R 300Mbps 4 Antenna Wireless Router Black,"1,390৳","1,529৳",In Stock,6013,Mercusys,https://www.startech.com.bd/image/cache/catalog/router1/Mercusys/MW325R/22_normal_-500x500.jpg,"[{'Wireless Speed': '300Mbps'}, {'External Power Supply': '9VDC/0.6A'}, {'Wireless Standards': 'IEEE 802.11n, IEEE 802.11g, IEEE 802.11b'}, {'Frequency': '2.4 - 2.4835GHz'}, {'Wireless Security': 'WPA-PSK / WPA2-PSK'}]"
Rosenbarger Cat6 Patch Cord 5 Meters,To be announced,,Out Of Stock,6071,Rosenberger,https://www.startech.com.bd/image/cache/catalog/Networking Accessories/Patch Cords/Rosenbarger Cat6 Patch Cord 5 Meters-500x500.jpg,
HP 130A Yellow Original LaserJet Toner Cartridge (For CLJ M177FW MFP),"8,000৳","8,800৳",In Stock,5924,HP,https://www.startech.com.bd/image/cache/catalog/Toner/new toner/131 toner/130yellow-500x500.png,
Laptop Battery A Grade for HP,"1,600৳","2,000৳",In Stock,6086,Non-Brand,https://www.startech.com.bd/image/cache/catalog/Accssories Laptop/Battery/Compaq-Presario-CQ40-Battery-500x500.JPG,
Systimax CAT-6 Patch Cord 2 Meter,525৳,575৳,In Stock,6072,Non-Brand,https://www.startech.com.bd/image/cache/catalog/Networking Accessories/Patch Cords/Systimax Cat6 2Meters Patch Cord-500x500.jpg,
D-Link Cat5e Gold Plated UTP Connector Pack of 100 Pieces (Original),"1,300৳","1,375৳",In Stock,5930,D-Link,https://www.startech.com.bd/image/cache/catalog/Networking Accessories/Cable Connector/D-link/D-Link Cat 6 RJ45 Cable Connector-1-500x500.jpg,
DAHUA DH-NVR4216H 16 Channel 1U Network Video Recorder (NVR),To be announced,,Out Of Stock,6067,Dahua,https://www.startech.com.bd/image/cache/catalog/NVR/DAHUA/DAHUA DH-NVR4216H-500x500.jpg,
Microlab M-200 BT 2.1 Multimedia Speaker,To be announced,,Out Of Stock,6052,Microlab,https://www.startech.com.bd/image/cache/catalog/Speaker/Microlab/Microlab M-200/Microlab M-200-500x500.jpg,"[{'Subwoofer': 'Bass Driver 5""'}, {'Signal / noise ratio': '80 dB'}, {'Jack': '3.5 mm stereo'}, {'Bluetooth': 'Yes'}, {'Manufacturing Warranty': '01 Year Warranty'}]"
Cat6 5Meters Patch Cord (Normal),To be announced,,Out Of Stock,6073,Non-Brand,https://www.startech.com.bd/image/cache/catalog/Networking Accessories/Patch Cords/Patch Coad Cat 6 5M-500x500.jpg,
"HP 17A Black Original LaserJet Toner Cartridge (For P102A, 130a)","6,900৳","7,645৳",In Stock,5967,HP,https://www.startech.com.bd/image/cache/catalog/Toner/new toner/131 toner/17a-500x500.png,
